id,text
1,Instrumento de cuerdas.
2,Anudar.
3,Retroceder. Tener miedo.
4,Cuerda primera: la más delgada y aguda de ciertos instrumentos. Fuente: Oxford languages.
5,Cualquiera de las tres cuerdas de sonido más grave de la guitarra; especialmente la sexta. Fuente: Oxford languages.
6,Huella. Camino que se ha hecho por la misma circulación de personas y/o animales.
7,Pez.
8,Descuartizar. Empujar o arrastrar.
9,Mate amargo.
10,Pelleja curtida que se usa sobre la silla de montar. Fuente: diccionario RAE.
11,Instrumento provisto de un cabo y una tira de cuero crudo que se utiliza para animar o castigar a los caballos; el cabo puede ser de metal labrado. Fuente: Oxford Languages.
12,Caballo.
13,Poste liso y fuerte clavado en tierra que sirve para atar animales. Fuente: diccionario RAE.
14,Caballo salvaje o rebelde.
15,Persona vaga o cobarde; término despectivo. Fuente: Oxford Language.
16,Cadera de un animal.
17,Espuelas.
19,Movimiento que se realiza para evitar eludir o cambiar de dirección.
20,Arrojar las boleadoras hacia una persona o animal para atraparlo.
21,Ronzal que se ata a la cabeza o al cuello de la caballería para llevarla o asegurarla. Fuente: diccionario RAE.
22,Marcar al ganado con un hierro caliente. También hace referencia a la temporada donde se realiza esto.
23,Peón encargado de apresar reses -especialmente vacunas o equinas- arrojando el pial a sus patas. Fuente: diccionario de americanismos.
24,Aquel que tironea.En este caso después de enlazar un animal salvaje se lo lleva a los tirones.
25,Inepto o cobarde.
26,Cuello: en este caso se refiere al cuello de la damajuana.
27,Tira de cuero.
28,Vivienda abandonada o en mal estado.
29,Ligeramente borracho.
30,Aquel que huye de la justicia.
31,El trabajo de este inglés zanjeador (o zanjador) consistía en cavar las zanjas que se utilizaban para marcar divisiones o aparcelamientos. Era labor de gringos -que los gauchos despreciaban- como despreciaban todo trabajo que no fuera ecuestre. Fuente: Centro Virtual Cervantes.
32,Modo despectivo de referirse a Inglaterra.
33,Unir dos cosas o personas. Fuente: diccionario RAE.
34,Mezclar.
35,Caballo ganador de carreras.
36,Tela gruesa o acolchonada.
37,Ramal de cuero cuerda o soga; que sirve especialmente de rienda o de látigo. Fuente: diccionario RAE.
38,Tira larga de cuero sobado que sirve para atar o trabar el caballo maniatar animales y otros usos. Fuente: Oxford Languages.
40,Lonja de cuero curtido o sobado o de tejidos de tientos de diversas labores con puntos en uno de sus extremos y una hebilla en el otro que sirve para manear a las caballerías. Está dividida en dos partes o lonjas unidas por una argolla. Fuente: Wikcionario.
41,Dicho de un caballo: moverse subiendo y bajando la cabeza violenta y repetidamente. Fuente: diccionario RAE.
42,Persona que se dedica a explotar un terreno agrícola o una instalación ganadera mediante un contrato de aparcería. Fuente: Oxford Languages.
43,Castigar a una persona estirándola entre cuatro estacas clavadas en el suelo. Fuente: Oxford Languages.
44,Desertar.
45,Hace referencia a sufrir la condena del cepo.
46,Cabalgar dos jinetes en un mismo caballo.
47,Pinchar con cosa aguda.
48,Sentir miedo o susto.
49,Que no ha sido domado por completo.
50,Grupo de caballos robados.
51,Mezcla desordenada de personas animales o cosas. Fuente: Oxford Languages.
52,No proferir amenazas.
53,Sufrir una sacudida brusca en una de las extremidades. Fuente: diccionario de americanismos.
54,Materia muy seca que arde con facilidad.
55,Utensilios relacionados con la montura del caballo.
56,Juego que consiste en arrojar uno de los huesos del tarso de la vaca e intentar que al caer quede la parte cóncava hacia arriba; era habitual en el campo. Fuente: Oxford Language.
57,Dicho de un animal vacuno y ocasionalmente de un animal caballar: que tiene el pescuezo y los costillares de color diferente al del lomo barriga y parte de las ancas. Fuente: diccionario RAE.
58,Despearse: maltratar a un animal por haberlo hecho caminar mucho.
60,Dar dinero (luz por el brillo de las monedas). Fuente: glosario gauchesco.
62,Madero vertical que en las casas rústicas sirve a modo de columna para sostener las vigas o los aleros del tejado. Fuente: diccionario de americanismos.
63,Aguantar o soportar algo desagradable.
64,Peso moneda.
65,Dicho de un caballo perteneciente al Estado y que como señal lleva cortada la mitad de la oreja derecha. Fuente: Diccionario RAE.
66,Bolsa pequeña que se utiliza para guardar monedas o adminículos de fumar. Fuente: Oxford Languages.
67,Taba cargada que hace que siempre caiga del mismo lado con la cual se hace trampa.
68,Desorden también puede ser escrito como baharúnda.
69,Así o de ésta manera.
